PTS_home,FG_PCT_home,FT_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away
116.6,0.5035999999999999,0.7584,24.8,46.2,110.4,0.46180000000000004,0.7472,0.3654
109.8,0.46820000000000006,0.8,21.8,44.0,108.4,0.4558000000000001,0.6774,0.379
118.6,0.4643999999999999,0.7935999999999999,22.4,46.8,113.6,0.4918000000000001,0.7162000000000001,0.3566
104.4,0.42960000000000004,0.7475999999999999,26.4,46.2,106.0,0.4566,0.7312000000000001,0.33580000000000004
115.0,0.5156,0.8126000000000001,29.0,41.6,118.2,0.5109999999999999,0.7898,0.3434
111.0,0.43099999999999994,0.8847999999999999,18.0,40.0,101.8,0.4412,0.7596,0.3174
105.8,0.4462,0.7468,26.6,41.0,108.8,0.4708,0.8565999999999999,0.382
119.8,0.5128,0.807,30.6,44.2,110.6,0.4702,0.7844,0.37979999999999997
109.2,0.473,0.7778,23.2,37.0,118.6,0.5158,0.796,0.36960000000000004
101.2,0.44060000000000005,0.7282,23.8,42.8,125.4,0.4892,0.8266,0.39699999999999996
106.6,0.44299999999999995,0.6946,19.6,52.6,104.6,0.4208,0.7792,0.324
114.2,0.5178,0.8562,22.4,44.2,108.2,0.48,0.775,0.367
106.8,0.4286,0.76,24.8,49.2,116.0,0.46440000000000003,0.8294,0.36300000000000004
112.4,0.47380000000000005,0.7314,24.0,43.0,108.8,0.46840000000000004,0.8384,0.3766
111.4,0.47879999999999995,0.821,24.0,40.0,101.8,0.4412,0.7596,0.3174
111.0,0.43099999999999994,0.8847999999999999,18.0,45.6,102.8,0.4241999999999999,0.857,0.29480000000000006
106.6,0.44299999999999995,0.6946,19.6,46.2,110.4,0.46180000000000004,0.7472,0.3654
101.2,0.44060000000000005,0.7282,23.8,44.2,108.2,0.48,0.775,0.367
112.4,0.47380000000000005,0.7314,24.0,41.0,116.6,0.5035999999999999,0.7584,0.3254
114.2,0.5178,0.8562,22.4,44.0,108.4,0.4558000000000001,0.6774,0.379
106.8,0.4286,0.76,24.8,43.0,108.8,0.46840000000000004,0.8384,0.3766
